,frequency
to see where russia,1
to see where,1
to see what convoy,1
to seek common,1
to seek common ground,1
to seize,1
to seize rumania,1
to set up,1
to set,1
to serbia,1
to ser in,1
to ser,1
to separate our forces,1
to separate our,1
to separate,1
to send my fleet,1
to send my,1
to send gol east,1
to send gol,1
to send fleets around,1
to send fleets,1
to send,1
to select five way,1
to select five,1
to select,1
to seize rumania to,1
to see what,1
to see to,1
to secure my,1
to see bel coming,1
to see how he,1
to see how,1
to see grow strong,1
to see grow,1
to see from me,1
to see from,1
to see builds,1
to see black uniforms,1
to see black,1
to see bel,1
to see the moves,1
to see becoming to,1
to see becoming,1
to see and what,1
to see and,1
to see an underdog,1
to see an army,1
to see an,1
to see,1
to secure my homelands,1
to see if,1
to see if juggernaut,1
to see if they,1
to see is,1
to see the,1
to see that turkey,1
to see that it,1
to see that,1
to see something little,1
to see something,1
to see russia down,1
to see russia austria,1
to see russia,1
to see or be,1
to see or,1
to see much point,1
to see much,1
to see me pull,1
to see me,1
to see italy totally,1
to see italy in,1
to see italy,1
to see is austria,1
to still,1
to still work,1
to still work with,1
to tell me,1
to tell you what,1
to tell you to,1
to tell you,1
to tell them their,1
to tell them,1
to tell russia way,1
to tell russia the,1
to tell russia,1
to tell me what,1
to tell italy plan,1
to temporarily occupy,1
to tell italy,1
to tell,1
to teach,1
to tap sil,1
to tap,1
to talk with someone,1
to talk with,1
to talk will let,1
to talk will,1
to temporarily,1
to temporarily occupy vienna,1
to stop,1
to that the,1
to the balkans this,1
to the aegean for,1
to the aegean,1
to the adr so,1
to the adr,1
to the adjudicate when,1
to the adjudicate,1
to the,1
to that the only,1
to that is one,1
to thank,1
to that is,1
to that effect on,1
to that effect,1
to that bounce in,1
to that bounce,1
to that actually,1
to that,1
to thank you for,1
to thank you,1
to talk to you,1
to talk to turkey,1
to talk to russia,1
to take them down,1
to take virtually,1
to take two centers,1
to take two,1
to take tunis with,1
to take tunis,1
to take tun with,1
to take tun,1
to take tri next,1
to take tri,1
to take them,1
to talk to england,1
to take the risk,1
to take the north,1
to take the,1
to take that easy,1
to take that,1
to take sweden off,1
to take sweden,1
to take smyrna,1
to take ser then,1
to take virtually every,1
to take you,1
to take you down,1
to take you out,1
to talk to,1
to talk really quick,1
to talk really,1
to talk post war,1
to talk post,1
to talk france,1
to talk for the,1
to talk for,1
to talk bit,1
to talk about then,1
to talk about it,1
to talk about in,1
to talk about how,1
to talk about here,1
to talk about early,1
to talk about,1
to talk,1
to take your temperature,1
to take your,1
to the balkans until,1
to the baltic,1
to the baltic sea,1
to them to convince,1
to think about,1
to think,1
to these players,1
to these,1
to there,1
to then agree now,1
to then agree,1
to then,1
to themself,1
to them to,1
to the solo by,1
to them since that,1
to them since,1
to them anyways,1
to them,1
to the three of,1
to the three,1
to the table,1
to the south east,1
to the south being,1
to think about it,1
to think and,1
to think and let,1
to think he,1
to threaten me,1
to threaten,1
to though,1
to those terms,1
to those moves,1
to those,1
to this game,1
to this build crapton,1
to this build,1
to this,1
to think you ll,1
to think you,1
to think that they,1
to think that if,1
to think that have,1
to think that,1
to think it over,1
to think it,1
to think he being,1
to the south,1
to the solo,1
to the better,1
to the draw,1
to the helgoland and,1
to the helgoland,1
to the french to,1
to the french,1
to the france attack,1
to the france,1
to the female minority,1
to the female,1
to the end,1
to the dark side,1
to the russians first,1
to the dark,1
to the culinary world,1
to the culinary,1
to the chase dmz,1
to the chase,1
to the channel to,1
to the channel,1
to the british when,1
to the british,1
to the idea,1
to the idea actually,1
to the ionian,1
to the ionian sea,1
to the russians,1
to the russia germany,1
to the russia,1
to the room if,1
to the proposition,1
to the proposal on,1
to the proposal,1
to the point where,1
to the point of,1
to the point,1
to the other nations,1
to the norwegian wouldn,1
to the norwegian,1
to the northern areas,1
to the northern,1
to the north is,1
to the north,1
to the late game,1
to the late,1
to take ser,1
to take scandinavia or,1
to take scandinavia,1
to support my guy,1
to support silesia to,1
to support silesia,1
to support serbia and,1
to support serbia,1
to support paris attack,1
to support paris,1
to support one of,1
to support one,1
to support my movement,1
to support my,1
to support into,1
to support me the,1
to support me into,1
to support me in,1
to support me,1
to support italy into,1
to support italy,1
to support it it,1
to support it,1
to support into tyr,1
to support smyrna,1
to support smyrna need,1
to support spain,1
to support spain hold,1
to surrender it to,1
to surrender it,1
to surrender,1
to support yourself to,1
to support yourself,1
to support your landing,1
to support your advances,1
to support your,1
to support you to,1
to support you into,1
to support you in,1
to support you,1
to support warsaw or,1
to support warsaw,1
to support themselves into,1
to support themselves,1
to support them into,1
to support them,1
to support spain holding,1
to support into bel,1
to support hold it,1
to survive,1
to stop propping him,1
to strategerize tomorrow,1
to strategerize,1
to stp,1
to stop your solo,1
to stop your,1
to stop you,1
to stop them,1
to stop the at,1
to stop the,1
to stop propping,1
to support hold in,1
to stop me or,1
to stop me from,1
to stop me,1
to stop italy,1
to stop it from,1
to stop it,1
to stop him,1
to stop france,1
to stop austria,1
to strike,1
to strike from,1
to strike from the,1
to strong,1
to support hold,1
to support his attack,1
to support his,1
to support germany on,1
to support germany,1
to support either england,1
to support either,1
to support bul to,1
to support bul into,1
to support bul,1
to support an italian,1
to support an,1
to support,1
to suck up as,1
to suck up,1
to suck,1
to such lengths to,1
to such lengths,1
to such,1
to surround yours,1
to survive rather,1
to take rum or,1
to take it back,1
to take mar next,1
to take mar,1
to take liverpool or,1
to take liverpool,1
to take kiel highly,1
to take kiel and,1
to take kiel,1
to take it this,1
to take it cautious,1
to take it,1
to take den this,1
to take his side,1
to take his,1
to take greece it,1
to take greece,1
to take german dots,1
to take german,1
to take gas,1
to take down,1
to take denmark and,1
to take me,1
to take me to,1
to take more,1
to take more from,1
to take rum,1
to take paris belgium,1
to take paris,1
to take over germany,1
to take over,1
to take out in,1
to take out,1
to take on turkey,1
to take on germany,1
to take on,1
to take norway and,1
to take norway,1
to take my suggestions,1
to take my home,1
to take my,1
to take munich,1
to take moscow with,1
to take moscow if,1
to take moscow,1
to take denmark,1
to take den,1
to survive rather than,1
to sweeten,1
to swipe munich,1
to swipe kiel from,1
to swipe kiel,1
to swipe,1
to swing up for,1
to swing up,1
to swing,1
to sweeten the deal,1
to sweeten the,1
to sweep him in,1
to take bur this,1
to sweep him,1
to sweep,1
to sweden anyway,1
to sweden,1
to swap again,1
to swap,1
to suspect you as,1
to suspect you,1
to suspect,1
to swipe munich if,1
to switch,1
to switch sides,1
to switch sides at,1
to take bur,1
to take bul,1
to take black,1
to take belgium this,1
to take belgium,1
to take back stp,1
to take back sev,1
to take back,1
to take any of,1
to take any more,1
to take any,1
to take ankara you,1
to take ankara,1
to take advantage of,1
to take advantage,1
to take,1
to syria would be,1
to syria would,1
to syria,1
to resolving the west,1
to resolving,1
to keep my,1
to me all,1
to me asking,1
to me anyways,1
to me anyway and,1
to me anyway,1
to me and you,1
to me and we,1
to me and is,1
to me and,1
to me all the,1
to me again,1
to me bout,1
to me about working,1
to me about heading,1
to me about attacking,1
to me about,1
to me,1
to master manipulator,1
to master,1
to marseilles im basically,1
to marseilles im,1
to me asking if,1
to me bout it,1
to make ground into,1
to me in,1
to me or,1
to me now,1
to me next year,1
to me next time,1
to me next,1
to me like everyone,1
to me like,1
to me in the,1
to me in 01,1
to me if they,1
to me briefly,1
to me if lose,1
to me if leave,1
to me if,1
to me hinted that,1
to me hinted,1
to me earlier it,1
to me but havent,1
to me but,1
to me briefly and,1
to marseilles if the,1
to marseilles if,1
to marseilles,1
to make some,1
to make that call,1
to make that,1
to make sure we,1
to make sure understand,1
to make sure tyr,1
to make sure they,1
to make sure it,1
to make sure get,1
to make stand,1
to make my life,1
to marseille,1
to make my,1
to make moves to,1
to make moves,1
to make move recommendations,1
to make move,1
to make me think,1
to make me,1
to make it look,1
to make it fleet,1
to make that happen,1
to make that work,1
to make these mistakes,1
to make up,1
to mark that as,1
to mark that,1
to mark,1
to mar,1
to mao this phase,1
to mao this,1
to maneuver towards war,1
to maneuver,1
to manageable size think,1
to manageable size,1
to manageable,1
to manage,1
to making it work,1
to making it,1
to making,1
to make your acquaintance,1
to make your,1
to make work out,1
to make work,1
to me or covering,1
to me or if,1
to me saying,1
to move it,1
to move on,1
to move north or,1
to move north,1
to move my fleet,1
to move my,1
to move most,1
to move kie back,1
to move kie,1
to move it unless,1
to move into swe,1
to move faster we,1
to move into rum,1
to move into romania,1
to move into good,1
to move into bul,1
to move into,1
to move in the,1
to move hope any,1
to move hope,1
to move fleet to,1
to move on austria,1
to move on rum,1
to move on to,1
to move on turkey,1
to move to pie,1
to move to livonia,1
to move to iri,1
to move to gal,1
to move to channel,1
to move to bud,1
to move to bel,1
to move to,1
to move through russia,1
to move through,1
to move those units,1
to move the spain,1
to move smoothly together,1
to move smoothly,1
to move sev rum,1
to move sev,1
to move out of,1
to move out if,1
to move on you,1
to move fleet,1
to move faster,1
to me saying he,1
to me which,1
to mention,1
to menace smy and,1
to menace smy,1
to menace,1
to med and you,1
to me yet either,1
to me without,1
to me why you,1
to me why,1
to me unless can,1
to move fast esp,1
to me unless,1
to me too,1
to me til monday,1
to me til,1
to me that the,1
to me that,1
to me staying with,1
to me staying,1
to me so that,1
to mention wmed,1
to mess,1
to mess with,1
to mess with all,1
to move fast,1
to move den to,1
to move den,1
to move cautiously too,1
to move cautiously,1
to move back to,1
to move back,1
to move and are,1
to move and,1
to move an army,1
to move an,1
to move against turkey,1
to move against him,1
to move against,1
to move,1
to moscow,1
to messages after two,1
to messages after,1
to messages,1
to make it,1
to make ground,1
to resolve our current,1
to know my,1
to know whether germany,1
to know whether,1
to know the strategic,1
to know the,1
to know that you,1
to know that they,1
to know that,1
to know thanks,1
to know my tentative,1
to know more than,1
to land,1
to know more,1
to know if im,1
to know if,1
to know,1
to knock you out,1
to knock you,1
to knock out italy,1
to knock out,1
to knock,1
to know why,1
to land gre are,1
to make go for,1
to leave an,1
to leave him,1
to leave gal dmz,1
to leave gal,1
to leave bre open,1
to leave bre,1
to leave bla empty,1
to leave ank where,1
to leave ank,1
to leave an army,1
to leave,1
to last,1
to learn if youre,1
to learn if,1
to learn how you,1
to learn,1
to lay off of,1
to lay off,1
to lay,1
to last past england,1
to last past,1
to kill you,1
to kill or heaven,1
to kill or,1
to keep playing one,1
to keep that up,1
to keep that decision,1
to keep that army,1
to keep scrambling and,1
to keep scrambling,1
to keep russia out,1
to keep russia,1
to keep pushing on,1
to keep pushing,1
to keep playing,1
to kill me so,1
to keep out at,1
to keep out,1
to keep our triple,1
to keep our own,1
to keep our options,1
to keep our,1
to keep neutral for,1
to keep neutral,1
to keep my holdings,1
to keep the,1
to keep the game,1
to keep the genie,1
to keep to,1
to kill me,1
to kill austria in,1
to kill austria,1
to kill,1
to kiel is typical,1
to kiel is,1
to kiel,1
to keep your communications,1
to keep your,1
to keep you strong,1
to keep you out,1
to keep you,1
to keep vienna,1
to keep tyrrhenian empty,1
to keep tyrrhenian,1
to keep turkey out,1
